timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
3903,484,1020,-320,16448,16384,1024,0,0,0,
3923,1176,64,140,-64,-24,288,0,0,0,
3943,1336,60,176,52,-44,-324,-66,425,714,
3963,1296,8,92,68,160,-156,-186,271,616,
3983,1092,-112,52,-60,0,200,-186,264,622,
4003,664,-96,48,-12,-108,52,-194,258,639,
4023,528,76,-20,-76,-36,40,-188,278,603,
4043,244,204,-60,-72,-84,8,-189,280,623,
4063,212,28,92,-20,-4,4,-211,273,615,
4083,244,4,128,28,72,28,-193,293,597,
4103,352,-36,64,16,64,36,-189,282,590,
4123,136,44,68,12,40,8,-184,291,600,
4143,-76,-12,112,44,56,0,-210,300,627,
4163,-56,-100,60,32,76,16,-210,300,627,
4183,64,36,16,36,60,16,-216,290,628,
4203,-16,84,-76,52,60,60,-203,264,597,
4223,-40,100,-92,56,32,80,-210,282,625,
4243,-80,144,-188,24,-16,68,-194,278,585,
4263,-40,-28,20,-36,-148,40,-218,265,601,
4283,120,-120,196,-96,-152,48,-226,262,594,
4303,-204,-412,56,-140,-28,12,-220,255,600,
4323,60,-8,120,-136,124,12,-235,276,611,
4343,160,24,0,-140,280,-80,-224,288,624,
4363,460,408,32,-72,324,-72,-235,281,618,
4383,16,-256,-16,-152,68,-12,-217,284,626,
4403,240,24,-12,-208,40,-52,-238,285,588,
4423,144,8,-276,-68,216,-112,-198,293,618,
4443,144,8,-276,-136,48,-212,-205,301,598,
4463,-372,-300,20,-104,-28,-84,-207,268,610,
4483,-400,76,120,-80,144,8,-227,248,598,
4503,-92,704,-100,44,72,-52,-223,246,595,
4523,176,-92,-48,136,-4,-56,-237,280,593,
4543,480,-232,128,104,-104,-116,-208,257,597,
4563,456,-328,48,48,-100,-140,-222,259,603,
4583,-744,36,152,220,-76,-128,-237,265,616,
4603,4,-436,-72,312,4,56,-217,268,625,
4623,-264,-16,-32,300,100,192,-208,279,603,
4643,-320,428,148,252,140,296,-240,282,607,
4663,-168,280,-56,324,72,384,-235,272,604,
4683,236,-136,-176,364,-32,272,-228,267,596,
4703,-1000,3860,676,-64,-320,-136,-215,271,617,
4723,636,-1052,168,140,32,-72,-222,263,630,
4743,-700,-1960,24,384,176,40,-183,262,607,
4763,972,-1220,-240,244,-12,12,-197,240,596,
