timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
3903,484,1020,-320,16448,0,1040,0,0,0,
3923,-976,192,-144,80,-120,96,0,0,0,
3943,-1160,276,40,268,-144,-556,648,459,788,
3963,-1240,24,-96,172,-28,148,609,331,712,
3983,-972,-52,-88,232,-312,-52,580,321,754,
4003,-696,216,192,336,-324,24,594,297,692,
4023,-1656,-592,-552,320,-228,100,585,325,699,
4043,-1612,-1408,-896,160,-44,328,584,301,715,
4063,-268,-140,-416,44,-136,328,607,292,722,
4083,740,252,-332,-68,-136,156,590,301,693,
4103,1220,-120,-208,-116,-108,24,608,311,689,
4123,1016,-592,-140,-168,-60,-72,580,289,718,
4143,1024,-900,-308,-272,-28,-68,601,321,707,
4163,912,-888,-368,-380,8,-60,588,295,685,
4183,644,-712,-308,-512,-32,-100,575,309,717,
4203,284,-272,-136,-620,-100,-164,604,285,675,
4223,-76,-72,-284,-672,-108,-200,604,285,675,
4243,-420,-224,-744,-720,-80,-220,579,335,711,
4263,-572,-552,-1180,-756,-48,-184,577,307,736,
4283,-532,-436,-936,-772,4,-176,570,312,738,
4303,-416,-32,-684,-740,0,-212,582,321,709,
4323,-308,280,-156,-616,-16,-252,605,324,713,
4343,-268,280,468,-460,-100,-264,583,335,692,
4363,-408,-4,828,-388,-184,-292,577,346,713,
4383,-644,-456,600,-420,-216,-384,578,331,739,
4403,-360,-812,504,-464,-196,-512,601,329,717,
4423,-8,-924,508,-640,-116,-572,606,339,748,
4443,104,-508,532,-752,-40,-540,589,343,762,
4463,312,104,440,-820,28,-528,558,362,726,
4483,452,392,328,-868,48,-524,570,354,734,
4503,404,432,196,-896,72,-492,562,351,748,
4523,404,432,196,-864,120,-436,560,374,736,
4543,336,464,52,-776,156,-324,586,354,752,
4563,264,428,-76,-700,188,-248,579,358,743,
4583,28,368,-128,-580,160,-176,548,383,757,
4603,64,348,-160,-480,148,-116,556,389,755,
4623,140,216,-12,-332,184,-68,548,378,755,
4643,88,160,-96,-156,252,-20,571,379,780,
4663,-128,104,-504,44,300,8,575,376,791,
4683,52,-76,-672,216,240,72,582,371,795,
4703,140,-356,-544,280,180,100,557,378,761,
4723,20,-528,-252,240,80,96,580,380,780,
4743,-84,-708,152,128,-20,60,577,382,790,
4763,-120,-652,604,-48,-108,44,564,377,766,
4783,-204,-344,812,-260,-168,24,574,366,769,
4803,-296,-96,864,-396,-196,40,562,367,773,
4823,-372,48,956,-512,-128,60,597,389,747,
4843,-356,100,868,-644,-44,64,575,374,793,
4863,-132,312,780,-728,4,64,578,380,759,
4883,-12,276,592,-796,52,52,553,369,754,
4903,16,-52,508,-888,100,36,567,358,775,
4923,148,-248,324,-968,144,48,574,360,796,
4943,336,-32,140,-1060,128,24,576,384,789,
4963,340,232,100,-1124,104,4,569,381,795,
4983,396,324,64,-1172,104,-32,585,362,800,
5003,380,296,148,-1212,52,-28,576,365,785,
5023,52,212,344,-1284,36,12,563,367,796,
5043,-4,204,320,-1324,-12,68,556,373,806,
5063,-1160,452,-740,-1312,60,100,564,362,817,
5083,-3284,2248,-2884,-972,440,-92,566,397,820,
5103,-500,1152,-2256,-684,-312,-192,555,371,812,
5123,-108,-628,-1400,-588,-152,-100,566,391,823,
5143,-492,-348,-1136,-608,-344,-208,569,386,803,
5163,916,-1024,-372,-720,-352,-192,582,373,813,
5183,1984,-1560,324,-924,-356,-84,569,375,821,
5203,2412,-1608,620,-1164,-328,-76,578,355,813,
5223,1576,-680,408,-1388,-280,-244,548,373,862,
5243,724,444,68,-1492,-324,-408,567,361,841,
5263,108,1112,0,-1496,-240,-488,564,366,824,
5283,-344,736,-40,-1484,-224,-468,556,389,822,
5303,-820,376,136,-1404,-212,-388,555,363,826,
5323,-1152,692,-96,-1112,-120,-272,567,394,823,
5343,-1180,1212,-460,-692,-40,-120,556,381,845,
5363,-1044,1172,-440,-256,36,60,566,391,850,
5383,-864,404,-224,24,76,256,558,392,853,
5403,-540,-240,180,144,156,444,550,392,843,
5423,240,-408,316,176,292,508,566,376,835,
5443,844,-248,536,164,392,484,551,372,883,
5463,764,112,516,160,476,460,578,376,868,
5483,608,336,332,196,444,408,576,370,866,
5503,376,508,436,288,380,352,581,376,865,
5523,128,432,396,412,352,328,577,366,868,
5543,176,24,244,516,388,272,583,361,899,
5563,420,-168,96,572,372,204,574,373,868,
5583,272,-16,172,620,284,148,572,390,845,
5603,324,140,236,676,232,80,581,369,873,
5623,232,136,336,808,168,-12,564,355,864,
5643,-132,-388,188,876,160,-40,571,398,841,
5663,-128,-896,-188,916,144,-64,572,372,842,
5683,-320,-960,-664,788,88,-88,562,365,846,
5703,-116,-636,-848,516,80,-84,565,354,822,
5723,324,-152,-52,236,64,-164,557,354,853,
5743,68,836,592,136,-60,-236,539,352,860,
5763,124,1704,740,260,-140,-188,566,372,851,
5783,112,1400,836,820,-304,76,546,357,848,
5803,-80,468,896,1040,-316,128,563,387,826,
5823,-64,88,888,1164,-284,128,567,358,818,
5843,-40,-116,752,1184,-280,80,550,353,827,
5863,-508,-828,88,1088,-164,96,563,367,810,
5883,-1568,-2028,-1132,820,-76,316,580,377,816,
5903,-2212,-2980,-2596,300,64,536,578,370,788,
5923,-272,-1496,-1048,-124,-408,652,577,367,824,
5943,76,1928,-196,-192,-480,240,590,362,822,
5963,-1184,2444,-436,132,-396,172,563,351,802,
5983,-1476,652,-908,508,-228,304,576,396,811,
6003,344,-632,-480,656,-216,292,572,368,793,
6023,1000,-344,-264,672,-212,192,587,363,789,
6043,888,-576,-460,756,-104,112,555,352,814,
6063,1072,-1076,-456,800,-16,72,579,377,790,
6083,1520,-720,-492,896,36,32,581,373,782,
6103,1632,-108,-184,1048,24,28,572,355,786,
6123,1128,-372,0,1196,20,72,570,346,785,
6143,600,-656,132,1272,-4,124,585,345,781,
6163,196,-528,344,1268,-64,124,616,352,759,
6183,-96,-424,468,1196,-124,96,578,367,762,
6203,-400,-452,704,1092,-224,44,584,343,740,
6223,-784,-180,608,948,-256,-16,584,343,740,
6243,-1028,116,548,804,-248,-84,540,349,760,
6263,-852,172,512,716,-196,-176,587,345,761,
6283,-416,-32,472,688,-100,-212,585,358,768,
6303,-200,108,404,652,-28,-180,617,330,725,
6323,-248,196,376,592,-16,-132,601,352,729,
6343,8,-44,276,572,40,-124,589,361,729,
6363,212,-180,164,584,64,-104,574,351,723,
6383,212,-180,260,580,108,-84,582,374,734,
6403,472,-172,260,520,136,-52,572,347,737,
6423,440,-116,260,432,148,-20,581,328,718,
6443,388,-40,192,328,144,4,569,333,721,
6463,504,56,132,224,132,36,572,364,743,
6483,508,52,224,-12,84,44,581,369,746,
6503,508,-112,168,-128,92,32,587,355,739,
6523,92,-112,168,-204,152,36,566,340,744,
6543,-520,-404,-356,-308,140,128,575,332,733,
6563,-676,-520,-800,-440,56,168,574,354,763,
6583,-636,-108,-500,-480,-28,108,584,342,741,
6603,-380,576,-76,-444,-64,28,578,357,734,
6623,-40,940,352,-388,-112,0,573,352,726,
6643,-32,804,816,-360,-160,20,573,336,748,
6663,-204,212,996,-408,-144,32,590,338,729,
6683,-280,-516,932,-512,-96,68,553,353,761,
6703,-128,-788,780,-700,-52,108,538,353,757,
6723,60,-632,768,-860,-16,124,584,352,721,
6743,176,-248,532,-996,-16,116,582,347,749,
6763,416,72,344,-1068,-16,120,562,325,760,
6783,364,176,192,-1080,-32,152,581,338,766,
6803,-548,492,-708,-972,124,120,609,360,763,
6823,-1720,1504,-1884,-672,-16,-60,591,335,743,
6843,-1388,1576,-2248,-284,48,-120,582,339,752,
6863,-628,1348,-2308,196,-92,-120,587,342,772,
6883,768,-292,-56,320,-288,24,569,349,741,
6903,512,-1912,648,180,-212,156,582,353,756,
6923,-72,-1088,360,-64,-208,164,577,344,774,
6943,352,276,-212,-216,-172,24,569,342,749,
6963,1064,948,-560,-172,-168,-64,581,359,756,
6983,1044,1008,-392,-88,-132,-40,597,338,775,
7003,624,836,-412,0,36,16,573,343,746,
7023,748,484,-724,40,172,72,556,341,777,
7043,544,0,-616,84,144,52,569,342,770,
7063,448,-252,-384,96,192,16,572,354,748,
7083,208,-100,-128,60,144,-16,571,343,766,
7103,-132,32,-20,36,64,-16,572,359,757,
7123,-140,116,220,32,-60,8,556,342,747,
7143,-128,164,604,40,-164,52,568,335,757,
7163,-384,84,892,132,-160,188,581,356,774,
7183,-760,120,832,204,-28,256,552,324,747,
7203,-852,364,272,312,192,256,590,342,775,
7223,-568,708,-380,480,392,192,594,336,758,
7243,-340,788,-708,672,464,160,595,326,742,
7263,-160,404,-480,804,404,200,601,332,750,
7283,360,-284,-56,864,280,272,584,338,752,
7303,544,-652,308,860,216,336,597,326,781,
7323,396,-512,444,840,152,348,588,305,744,
7343,244,-80,524,856,132,300,587,336,757,
7363,56,200,412,896,152,244,593,322,755,
7383,44,216,296,984,120,216,586,300,759,
7403,96,52,352,1088,116,184,602,317,788,
7423,168,-204,216,1176,144,136,594,302,750,
7443,48,-372,60,1200,148,96,583,301,737,
7463,-172,-496,-156,1168,192,80,576,306,711,
7483,-224,-552,-320,1080,192,32,590,309,736,
7503,-132,-292,-544,984,120,12,597,302,727,
7523,72,88,-356,920,4,12,588,287,725,
7543,176,500,52,956,-92,24,596,308,738,
7563,116,392,240,1032,-104,44,589,305,701,
7583,-48,152,468,1148,-152,84,595,303,714,
7603,-128,80,632,1276,-132,124,597,285,729,
7623,-88,212,660,1440,-132,148,591,259,719,
7643,-68,232,536,1600,-144,200,587,271,719,
7663,-48,36,488,1724,-168,240,600,287,715,
7683,-180,-84,476,1796,-220,296,592,269,657,
7703,-208,-124,448,1832,-208,292,605,277,717,
7723,-264,-40,572,1824,-208,284,595,264,719,
7743,-212,-8,480,1780,-132,252,599,274,695,
7763,36,-32,324,1776,-72,212,600,265,663,
7783,-76,56,120,1772,-96,176,591,275,647,
7803,-1764,-1676,-1924,1224,352,408,586,230,669,
7823,-3176,-4784,-2820,800,-48,796,582,244,655,
7843,-388,-1056,-1432,592,-328,500,593,247,676,
7863,2384,2576,-736,620,-552,-16,588,244,652,
7883,1660,3524,240,1032,-628,-84,579,234,653,
7903,276,1672,308,1404,-440,8,588,234,641,
7923,668,-572,-108,1588,-336,160,595,229,661,
7943,904,-960,-328,1748,-384,244,601,215,644,
7963,288,-812,-180,1888,-328,248,621,190,645,
7983,-308,-704,16,1984,8,196,584,213,637,
8003,220,-860,-428,2036,372,224,599,198,650,
8023,1104,-476,-432,2056,496,324,606,185,646,
8043,1100,-200,-228,1988,468,424,607,168,617,
8063,184,-216,276,1808,288,448,594,162,621,
8083,-864,-536,640,1544,88,320,621,174,615,
8103,-1336,-744,720,1312,-16,108,599,163,647,
8123,-840,-544,740,1100,-76,-40,599,139,646,
8143,-596,176,352,924,-40,-84,567,155,620,
8163,-496,408,92,840,-48,-152,602,157,624,
8183,72,60,176,940,16,-88,585,121,652,
8203,376,152,288,996,24,4,594,150,632,
8223,436,100,340,984,48,36,603,172,618,
8243,144,-476,400,936,148,60,597,131,656,
8263,44,-896,260,888,224,76,606,145,652,
8283,184,-964,64,840,224,104,582,130,654,
8303,456,-900,68,804,160,124,603,142,644,
8323,676,-820,224,780,104,192,600,113,618,
8343,572,-440,76,772,80,268,602,133,642,
8363,572,56,-188,856,48,316,593,100,640,
8383,364,464,-288,984,60,360,612,100,660,
8403,168,672,-44,1012,-52,412,585,109,655,
8423,-420,428,144,1064,-84,392,580,123,660,
8443,-488,180,360,1052,-156,376,578,97,668,
8463,-524,-504,984,904,-224,340,573,89,629,
8483,-444,-1032,952,696,-216,312,570,92,658,
8503,-504,-468,312,508,-204,372,578,97,668,
8523,-1620,432,-552,376,-308,292,561,99,653,
8543,-2536,1132,-1624,432,-404,24,559,87,654,
8563,-1084,1776,-796,676,-500,-132,563,94,634,
8583,508,916,168,804,-392,-16,571,61,626,
8603,316,76,-52,796,-332,56,570,76,618,
8623,28,596,-584,708,-240,-40,576,83,637,
8643,716,976,-976,788,-124,-164,578,81,645,
8663,1240,724,-900,860,-56,-76,565,70,615,
8683,1036,252,-536,920,40,84,580,39,633,
8703,744,400,-668,932,108,240,566,66,661,
8723,716,876,-620,892,148,268,582,61,615,
8743,1004,720,-388,876,72,236,588,65,641,
8763,604,312,40,940,-44,248,585,28,637,
8783,-428,0,268,1084,-80,360,576,26,668,
8803,-720,-28,256,1204,-28,496,563,50,652,
8823,-192,-180,528,1300,-52,540,550,27,665,
8843,-8,-152,624,1292,-60,556,591,3,657,
8863,-268,196,596,1224,-80,536,574,2,685,
8883,-280,272,540,1204,-40,460,567,3,679,
8903,96,56,476,1224,-36,404,570,12,662,
8923,140,-92,536,1264,-28,376,552,-12,634,
8943,-164,-56,468,1280,40,360,562,2,685,
8963,-152,-96,192,1280,104,312,574,-18,690,
8983,-72,-168,16,1276,96,272,556,-9,672,
9003,-160,-284,52,1268,92,240,560,-20,672,
9023,-60,-156,-116,1224,100,180,555,-29,708,
9043,84,-32,-196,1184,84,144,571,-17,693,
9063,40,-152,-272,1112,96,100,556,-26,691,
9083,-48,-220,-252,1020,104,84,551,-26,710,
9103,32,-160,-468,892,100,76,565,-14,704,
9123,96,68,-160,716,40,112,551,-25,738,
9143,120,376,4,576,-28,52,544,-23,693,
9163,124,380,212,568,-64,28,554,-25,697,
9183,68,308,472,576,-112,24,563,-60,724,
9203,52,-176,520,568,-108,0,522,-43,717,
9223,52,-176,520,564,-80,-52,582,-34,727,
9243,44,-304,376,548,-44,-128,577,-25,691,
9263,-24,-268,312,516,-60,-188,564,-62,706,
9283,-312,-168,504,480,-40,-208,569,-36,711,
9303,-356,-16,552,464,-20,-212,554,-28,735,
9323,-180,108,488,452,-28,-176,567,-30,746,
9343,-160,76,524,432,-12,-128,568,-30,758,
9363,-296,-72,576,364,64,-116,563,-24,765,
9383,-248,-24,428,348,108,-132,572,-44,747,
9403,-228,188,308,348,168,-152,563,-54,746,
9423,-64,176,168,424,224,-168,579,-43,749,
9443,244,112,184,508,224,-184,596,-40,749,
9463,232,-260,228,556,228,-200,564,-30,739,
9483,-1332,-1460,-1096,296,572,-68,564,-46,763,
9503,-2124,-2960,-2220,-276,324,272,574,-37,749,
9523,-672,-1324,-1716,-672,72,-120,563,-51,738,
9543,44,708,-1716,-620,-148,40,575,-36,746,
9563,1572,2088,-520,-588,-216,-56,581,-20,773,
9583,1608,1108,-812,-596,-56,-172,584,-21,774,
9603,1556,-8,-1280,-576,24,-256,568,-16,756,
9623,1080,-704,-1256,-560,-52,-304,561,-37,768,
9643,1080,-804,-772,-636,-216,-280,572,-39,722,
9663,472,-804,-772,-700,-320,-248,580,-19,718,
9683,88,-220,-260,-712,-312,-220,572,-11,706,
9703,44,280,240,-736,-228,-200,565,-20,735,
9723,-276,88,160,-780,-88,-208,561,-8,732,
9743,-336,-416,88,-844,-76,-224,585,-6,715,
9763,-368,-604,276,-920,-64,-232,578,-2,719,
9783,-552,-420,424,-1096,-76,-300,590,-1,725,
9803,-792,-464,400,-1216,-140,-412,590,-6,712,
9823,-580,-420,460,-1308,-176,-500,598,-16,700,
9843,-184,-192,620,-1344,-156,-548,581,2,708,
9863,48,120,472,-1344,-48,-572,584,14,681,
9883,228,80,404,-1276,8,-540,597,32,681,
9903,300,24,444,-1120,44,-424,569,29,684,
9923,288,-32,344,-1064,84,-348,596,21,720,
9943,220,-28,280,-1016,140,-276,601,25,707,
9963,188,-88,132,-1008,192,-224,591,49,704,
9983,196,-68,-184,-1004,248,-176,591,49,704,
10003,124,172,-312,-964,284,-152,580,40,688,
10023,-192,404,-652,-864,324,-132,601,72,691,
10043,-352,452,-892,-704,308,-120,602,67,677,
10063,-288,108,-772,-484,320,-124,594,50,702,
10083,24,-660,-320,-360,212,-120,607,54,681,
10103,136,-936,112,-304,124,-144,595,39,695,
10123,28,-808,548,-348,-20,-168,604,52,682,
10143,28,-808,548,-436,-124,-200,581,55,697,
10163,104,-624,804,-584,-164,-196,580,68,713,
10183,-88,-140,1012,-668,-80,-196,594,71,657,
10203,204,632,608,-740,-16,-188,600,60,695,
10223,96,404,484,-784,-12,-164,588,61,699,
10243,-168,4,404,-844,-36,-128,587,72,678,
