timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
3905,484,1020,-288,16448,0,1040,0,0,0,
3925,160,-772,-356,-192,-36,236,546,451,1127,
3945,256,-900,-404,-60,8,-536,467,317,1131,
3965,196,-692,-304,-240,140,196,486,316,1124,
3985,120,-572,-252,-188,8,-100,481,293,1111,
4005,8,-456,-196,-196,56,-64,491,308,1117,
4025,-56,-368,-152,-192,48,-64,468,326,1134,
4045,-12,-316,-124,-192,0,-76,471,305,1117,
4065,20,-216,-76,-192,16,-76,480,308,1136,
4085,8,-168,-28,-188,4,-76,470,298,1129,
4105,-52,-124,-80,-180,-4,-76,491,322,1128,
4125,-100,-76,-52,-192,-40,-76,458,310,1142,
4145,-100,-64,-12,-196,-92,-72,464,313,1136,
4165,-240,-24,52,-196,-200,-76,460,319,1092,
4185,-364,28,36,-168,-356,-80,485,303,1113,
4205,-460,-80,-128,-180,-516,-92,485,328,1150,
4225,-248,-172,-188,-160,-692,-84,489,323,1130,
4245,272,-88,308,-152,-892,-64,489,323,1130,
4265,844,96,636,-96,-892,-64,497,332,1102,
4285,696,92,388,-104,-552,-80,499,318,1096,
4305,-24,-48,64,-148,-204,-80,474,311,1118,
4325,16,-116,216,-156,-168,-84,487,314,1103,
4345,692,-40,236,-172,-224,-76,478,303,1107,
4365,516,-52,188,-172,16,-104,490,306,1095,
4385,80,-176,392,-172,276,-124,490,306,1095,
4405,-180,-200,452,-156,344,-116,483,312,1099,
4425,-324,-24,296,-188,624,-40,471,306,1124,
4445,-524,60,-208,-208,772,-32,464,315,1111,
4465,-768,36,-808,-212,652,-36,478,324,1140,
4485,-724,-36,-980,-164,192,-44,477,304,1121,
4505,-60,-60,-420,-128,-188,-40,469,305,1169,
4525,588,92,-48,-96,-180,-56,487,305,1116,
4545,380,144,-40,-104,44,-56,498,315,1122,
4565,380,144,-40,-92,80,-56,479,290,1142,
4585,-36,92,-124,-124,16,-56,485,293,1116,
4605,-36,-72,136,-120,36,-48,479,301,1116,
4625,-112,-20,72,-128,28,-48,482,293,1145,
4645,-52,72,56,-88,20,-48,485,308,1114,
4665,-20,60,60,-60,0,-52,441,305,1113,
4685,-20,60,60,-48,0,-44,462,299,1149,
4705,-12,-16,92,-44,-8,-40,469,299,1134,
4725,40,-4,32,-40,0,-48,468,310,1134,
4745,4,8,24,-36,12,-48,455,290,1129,
4765,24,60,20,-40,12,-52,456,303,1144,
4785,-44,40,-40,-44,-12,-44,463,303,1125,
4805,-24,-12,68,-20,-48,-48,470,311,1120,
4825,100,-104,124,-4,-24,-52,457,290,1148,
4845,64,-100,140,8,4,-52,462,317,1134,
4865,48,-64,132,16,4,-56,467,333,1122,
4885,-68,-80,32,0,60,-84,476,300,1144,
4905,-260,-148,-92,44,76,-132,468,298,1121,
4925,-464,-88,-68,48,28,-160,453,303,1152,
4945,-400,-108,20,-8,-120,-168,477,329,1147,
4965,-128,-132,44,-100,-180,-176,470,321,1097,
4985,24,-108,84,-164,-236,-176,469,292,1101,
5005,100,-240,-12,-236,-316,-176,485,288,1098,
5025,336,-424,-104,-252,-376,-188,478,308,1135,
5045,620,-592,-260,-252,-316,-188,480,308,1113,
5065,784,-868,-316,-188,-216,-124,477,308,1130,
5085,544,-968,-392,-60,-88,-56,490,302,1150,
5105,28,-772,-396,196,-32,20,479,314,1120,
5125,-276,-368,-208,300,-48,28,472,297,1124,
5145,-284,-68,-76,372,-16,44,497,310,1119,
5165,-188,20,36,420,-20,96,500,303,1124,
5185,-104,-24,60,452,-68,144,491,328,1107,
5205,140,72,224,440,-88,196,473,320,1138,
5225,320,224,404,412,-40,216,478,305,1112,
5245,272,360,404,356,44,224,473,316,1130,
5265,112,392,388,268,84,244,466,316,1140,
5285,-204,512,496,188,124,240,479,305,1121,
5305,-544,752,276,84,144,224,496,319,1113,
5325,-668,656,228,-48,16,188,497,313,1108,
5345,-592,528,116,-120,-104,156,507,329,1111,
5365,-296,268,316,-116,-248,148,474,324,1115,
5385,32,-52,448,-52,-220,136,500,316,1129,
5405,80,12,108,4,-56,100,485,308,1104,
5425,-104,-80,-164,24,-104,96,502,291,1121,
5445,36,100,-140,92,-196,148,497,302,1122,
5465,116,324,-100,128,-232,164,506,303,1136,
5485,148,212,68,176,-216,156,497,307,1099,
5505,92,408,-64,212,-120,164,484,328,1118,
5525,-12,476,-168,204,-84,184,503,312,1106,
5545,56,548,-176,212,-104,200,515,309,1118,
5565,248,772,-200,184,-60,224,517,308,1115,
5585,388,756,-108,112,-8,216,487,340,1094,
5605,356,488,-96,40,72,220,497,301,1108,
5625,-28,248,-244,-36,204,224,526,304,1117,
5645,-232,248,-388,-76,224,220,517,306,1092,
5665,-24,288,-272,-76,124,216,496,299,1098,
5685,152,208,-96,-80,88,172,491,300,1091,
5705,224,-136,0,-96,108,96,518,286,1091,
5725,168,-424,60,-96,116,40,485,319,1110,
5745,96,-580,8,32,132,-24,512,284,1096,
5765,20,-412,32,104,164,-76,503,293,1125,
5785,36,-156,88,168,180,-120,506,294,1099,
5805,24,-88,148,188,236,-152,491,313,1098,
5825,-136,-184,104,208,312,-136,491,336,1104,
5845,-404,-84,-36,256,308,-92,489,301,1115,
5865,-432,0,-220,288,220,-52,489,318,1115,
5885,-24,152,-120,276,196,-36,465,325,1128,
5905,204,504,-68,252,244,-36,467,336,1103,
5925,-40,472,-88,192,256,-44,484,323,1129,
5945,-140,16,8,128,184,-44,509,317,1132,
5965,44,-280,56,124,156,-64,481,309,1122,
5985,-36,-572,-88,160,132,-108,475,317,1108,
6005,-232,-588,-332,212,80,-152,484,321,1098,
6025,-436,-252,-340,232,40,-188,489,331,1116,
