timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
3905,484,1020,-288,16448,0,1040,0,0,0,
3925,1408,324,-160,1580,316,-292,-35,531,1015,
3945,1648,284,-108,2024,324,-1076,-165,398,988,
3965,836,-28,28,2044,200,-328,-179,386,972,
3985,184,-360,-136,2232,-104,-692,-182,411,960,
4005,-88,-412,-304,2192,-48,-624,-219,385,968,
4025,84,-416,-156,2160,36,-620,-210,395,943,
4045,368,-424,-52,2164,76,-612,-204,378,925,
4065,448,-516,184,2192,116,-632,-220,410,942,
4085,280,-320,216,2280,204,-604,-202,399,908,
4105,-20,-112,176,2356,240,-548,-213,390,879,
4125,-96,-56,48,2440,204,-492,-216,377,897,
4145,-32,-132,140,2452,140,-468,-224,374,880,
4165,96,-176,20,2396,196,-476,-210,399,869,
4185,152,-248,-276,2320,304,-476,-228,361,866,
4205,56,-88,-360,2300,308,-476,-225,375,867,
4225,-96,100,-36,2356,224,-440,-221,389,842,
4245,-212,204,172,2412,224,-420,-229,367,819,
4265,-4,288,92,2504,308,-400,-225,359,802,
4285,384,164,-16,2612,356,-364,-232,382,763,
4305,636,44,84,2700,440,-352,-223,356,801,
4325,540,-592,36,2768,588,-428,-235,349,748,
4345,172,-1352,-196,2688,616,-552,-240,356,733,
4365,-140,-1904,-532,2560,484,-668,-254,335,743,
4385,-128,-2268,-632,2428,396,-688,-254,335,743,
4405,328,-2124,-204,2344,432,-584,-252,332,748,
4425,660,-1744,216,2176,596,-316,-243,340,730,
4445,44,-684,288,1856,372,-132,-251,314,755,
4465,-1216,168,288,1496,424,-8,-233,299,722,
4485,-1364,368,432,1276,688,76,-258,305,699,
4505,-400,484,408,1176,956,112,-240,297,691,
4525,640,308,208,1220,920,76,-240,312,678,
4545,776,-32,252,1340,664,-20,-245,280,660,
4565,776,-32,252,1464,496,-100,-219,288,666,
4585,740,28,204,1532,436,-152,-230,273,661,
4605,752,44,60,1460,324,-156,-217,254,644,
4625,332,-292,248,1300,220,-60,-234,268,643,
4645,-436,-772,360,1124,280,40,-232,261,652,
4665,-644,-1060,88,952,404,68,-229,273,632,
4685,-644,-676,-308,828,372,76,-220,267,635,
4705,-232,-676,-308,744,272,48,-218,238,621,
4725,204,-44,-264,648,236,20,-224,246,616,
4745,408,504,-96,544,144,-28,-231,244,612,
4765,292,576,28,484,56,-56,-229,241,620,
4785,-52,236,24,500,-4,-44,-232,239,629,
4805,-272,-48,32,508,0,-8,-215,239,595,
4825,-356,-160,-88,464,8,36,-228,265,581,
4845,-168,28,-116,392,40,40,-245,222,625,
4865,72,184,-28,316,32,40,-251,239,602,
4885,156,200,-88,248,-20,16,-246,231,605,
4905,72,84,-212,208,-100,-12,-225,226,630,
4925,0,-96,-116,176,-180,-4,-224,233,626,
4945,188,-180,-104,100,-256,-12,-228,239,622,
4965,228,-168,-196,32,-368,-4,-221,225,607,
