timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
3905,484,1020,-288,16448,512,1040,0,0,0,
3925,1184,348,40,-1060,-224,148,-39,125,765,
3945,1288,580,8,-840,-140,-548,-167,-87,706,
3965,692,372,28,-936,-20,268,-182,-78,666,
3985,256,228,0,-760,-204,124,-143,-86,662,
4005,236,604,220,-660,24,284,-167,-94,644,
4025,852,876,208,-516,-4,364,-164,-81,684,
4045,1224,236,-100,-444,-52,352,-181,-53,658,
4065,680,368,-24,-248,48,288,-181,-60,665,
4085,-4,60,832,-116,152,128,-174,-43,675,
4105,188,-32,1448,-64,284,24,-175,-71,680,
4125,480,0,1344,-96,372,-4,-176,-49,682,
4145,464,28,1168,-120,524,36,-190,-52,681,
4165,272,-96,732,-72,716,64,-178,-46,689,
4185,532,-844,-1612,168,604,84,-172,-54,671,
4205,2152,-2660,-4140,64,196,-36,-175,-59,637,
4225,2692,-4168,-3132,-468,52,-340,-157,-54,644,
4245,2112,-1256,-2108,-492,-84,-616,-172,-73,675,
4265,96,2164,-1572,-260,-228,-1252,-155,-60,653,
4285,-392,1764,-1108,-328,-352,-1716,-138,-58,694,
4305,1160,-748,-716,-748,-60,-1364,-147,-48,656,
4325,524,-2260,268,-1064,104,-628,-142,-48,651,
4345,-252,-916,188,-1244,64,124,-143,-30,626,
4365,-800,336,160,-1220,-212,576,-171,-48,642,
4385,-2856,1160,928,-956,-428,776,-171,-48,642,
4405,-3232,1000,1180,-500,-472,548,-160,-39,614,
4425,-2748,748,1072,-192,-256,308,-194,-24,637,
4445,-2424,-228,892,-400,-184,320,-174,-18,629,
4465,-1704,-480,544,-620,-124,336,-182,-25,646,
4485,-436,92,460,-732,-80,320,-171,-32,615,
4505,372,392,204,-812,-8,228,-173,-17,633,
4525,344,704,344,-880,84,28,-176,6,634,
4545,792,960,572,-892,164,-56,-178,-16,616,
4565,792,808,388,-776,104,-16,-187,-5,626,
4585,660,808,388,-656,48,36,-194,-9,623,
4605,956,-172,180,-584,-4,-20,-181,6,640,
4625,976,-260,220,-508,0,-88,-169,-12,625,
4645,748,-556,264,-452,-24,-112,-178,-7,621,
4665,288,-944,484,-452,-4,-40,-194,-3,636,
