timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
3903,484,1020,-280,16448,512,1040,0,0,0,
3923,220,472,-824,-96,-344,292,0,0,0,
3943,388,572,-988,16,-244,-388,100,113,1182,
3963,348,488,-844,-120,-12,236,44,-39,1174,
3983,320,348,-852,-12,-200,4,42,-65,1148,
4003,424,264,-872,-20,-76,-4,45,-54,1181,
4023,476,292,-656,-24,-84,-4,45,-49,1186,
4043,412,216,-516,-28,-76,-8,17,-51,1186,
4063,360,104,-468,-32,-76,-4,46,-56,1167,
4083,504,76,-480,-32,-76,-16,42,-54,1182,
4103,400,232,-404,-8,-104,-8,38,-58,1158,
4123,228,204,-180,40,-104,-8,45,-57,1165,
4143,164,-40,-92,48,-104,8,46,-48,1189,
4163,88,-20,-100,36,-120,8,53,-37,1171,
4183,52,0,-4,40,-124,4,53,-47,1192,
4203,-56,68,128,76,-100,-16,49,-29,1172,
4223,-192,-60,128,92,-120,-16,45,-43,1174,
4243,-212,-228,168,80,-128,-24,48,-65,1155,
4263,-268,-228,168,48,-84,-32,48,-65,1155,
4283,-268,-160,160,52,-64,-28,64,-57,1155,
4303,-224,-224,112,52,-24,-36,57,-74,1194,
4323,-152,-236,64,44,8,-28,41,-57,1174,
4343,-84,-148,8,32,32,-32,44,-46,1187,
4363,-44,-124,36,8,44,-16,44,-46,1208,
4383,200,-76,-184,-4,96,-8,44,-46,1208,
4403,324,-28,-292,-24,104,8,64,-66,1171,
4423,292,72,-312,-20,72,8,73,-46,1167,
4443,216,52,-212,-36,72,-12,54,-35,1162,
4463,180,120,-204,-24,60,-16,36,-45,1161,
4483,192,136,-136,-20,64,-24,47,-51,1156,
4503,124,24,-132,-12,36,-20,43,-53,1167,
4523,96,4,-140,-28,16,-16,51,-44,1179,
4543,80,80,-60,-32,24,-12,39,-54,1180,
4563,80,80,-60,-12,28,-12,41,-46,1171,
4583,16,92,12,16,16,-4,36,-45,1187,
4603,48,60,16,16,-8,-4,20,-24,1183,
4623,28,52,60,-12,-4,-4,52,-36,1186,
4643,76,-48,-12,-28,-28,-8,61,-42,1172,
4663,36,-4,-32,8,-36,-4,43,-47,1157,
4683,124,52,-60,32,-32,4,34,-23,1188,
4703,124,52,-60,24,-56,8,51,-49,1171,
4723,160,-20,-40,8,-64,0,50,-53,1187,
