timestamp,ax,ay,az,cx,cy,cz,mx,my,mz,alti
3903,484,1020,-312,16448,0,1040,0,0,0,
3923,1596,180,20,12,168,48,0,0,0,
3943,1852,3040,836,176,272,-1040,-90,192,699,
3963,-308,4160,776,56,192,-364,-196,29,608,
3983,-2228,3296,820,156,-40,-456,-183,9,596,
4003,-3324,1820,972,348,-8,-256,-169,17,614,
4023,-3392,792,980,572,-76,-172,-174,-3,605,
4043,-2248,732,792,764,-140,-136,-181,4,626,
4063,-1916,656,632,912,-272,-100,-165,39,640,
4083,-2124,624,516,1044,-360,16,-198,-9,620,
4103,-1896,368,424,1080,-388,156,-192,-16,666,
4123,-1180,56,284,1068,-384,252,-190,-5,636,
4143,-564,-360,272,1044,-412,344,-188,-13,641,
4163,-212,-408,308,996,-328,452,-191,2,653,
4183,164,-8,304,936,-164,508,-183,2,663,
4203,1104,560,844,988,136,484,-193,-26,680,
4223,2736,304,1288,964,220,524,-205,-19,658,
4243,3856,-392,1392,916,40,484,-205,-19,658,
4263,3616,-776,1424,844,-136,384,-184,-10,670,
4283,2056,-672,1408,736,-216,120,-194,-26,665,
4303,592,284,1416,652,-240,-40,-198,-19,681,
4323,-156,788,1112,600,-180,-80,-198,-10,669,
4343,-572,364,-576,536,-88,-28,-210,-9,694,
4363,8,736,-968,592,-188,36,-200,-33,654,
4383,4412,-3576,-6364,376,-184,-244,-200,-33,654,
4403,-3468,-2748,-1572,-808,-776,-1048,-184,-29,687,
4423,-876,1596,-1760,-880,1060,-588,-188,-53,690,
4443,2144,4536,-2528,-744,252,-656,-161,-19,675,
4463,1452,1732,-2540,-604,-68,-548,-175,-14,682,
4483,1172,-1540,-1168,-384,-68,-460,-185,-54,648,
4503,484,-3556,-4,-516,-128,-428,-176,-62,662,
4523,-1724,-2396,424,-904,-40,-312,-191,-59,676,
4543,-1724,-2396,1000,-1344,132,-8,-179,-55,659,
4563,-2028,-644,1000,-1664,252,304,-175,-55,652,
4583,-2004,332,1208,-1868,236,480,-185,-39,629,
4603,-2216,316,920,-2040,184,524,-183,-33,651,
4623,-2508,160,760,-2264,152,560,-200,-15,645,
